index,Ultrasonic Sensor Data Capture Start,index,Ultrasonic Sensor Data Capture Start
808,4159,100809.0,2765.0
809,4159,100810.0,2765.0
810,4205,100811.0,2790.0
811,4205,100812.0,2765.0
812,4229,100813.0,2741.0
813,4182,100814.0,2740.0
814,4252,100815.0,2796.0
815,4199,100816.0,2796.0
816,4205,100817.0,2741.0
817,4180,100818.0,2741.0
818,4205,100819.0,2790.0
819,4181,100820.0,2740.0
820,4257,100821.0,2765.0
821,4282,100822.0,2790.0
822,4205,100823.0,2740.0
823,4199,100824.0,2771.0
824,4153,100825.0,2746.0
825,4257,100826.0,2765.0
826,4232,100827.0,2741.0
827,4257,100828.0,2765.0
828,4257,100829.0,2765.0
829,4159,100830.0,2740.0
830,4257,100831.0,2740.0
831,4257,100832.0,2790.0
832,4251,100833.0,2747.0
833,4153,100834.0,2746.0
834,4159,100835.0,2747.0
835,4232,100836.0,2740.0
836,4257,100837.0,2740.0
837,4159,100838.0,2740.0
838,4257,100839.0,2741.0
839,4158,100840.0,2790.0
840,4159,100841.0,2740.0
841,4251,100842.0,2746.0
842,4152,100843.0,2771.0
843,4257,100844.0,2771.0
844,4230,100845.0,2740.0
845,4257,100846.0,2789.0
846,4257,100847.0,2741.0
847,4159,100848.0,2765.0
848,4257,100849.0,2740.0
849,4159,100850.0,2740.0
850,4159,100851.0,2746.0
851,4250,100852.0,2747.0
852,4257,100853.0,2796.0
853,4257,100854.0,2740.0
854,4159,100855.0,2740.0
855,4158,100856.0,2740.0
856,4158,100857.0,2740.0
857,4158,100858.0,2740.0
858,4159,100859.0,2740.0
859,4159,100860.0,2746.0
860,4152,100861.0,2746.0
861,4158,100862.0,2746.0
862,4159,100863.0,2740.0
863,4158,100864.0,2740.0
864,4256,100865.0,2741.0
865,4205,100866.0,2790.0
866,4159,100867.0,2741.0
867,4257,100868.0,2741.0
868,4253,100869.0,2790.0
869,4250,100870.0,2747.0
870,4205,100871.0,2796.0
871,4257,100872.0,2765.0
872,4230,100873.0,2740.0
873,4205,100874.0,2740.0
874,4181,100875.0,2740.0
875,4181,100876.0,2765.0
876,4257,100877.0,2741.0
877,4205,100878.0,2740.0
878,4251,100879.0,2746.0
879,4251,100880.0,2796.0
880,4159,100881.0,2814.0
881,4204,100882.0,2790.0
882,4257,100883.0,2740.0
883,4181,100884.0,2740.0
884,4257,100885.0,2790.0
885,4231,100886.0,2741.0
886,4158,100887.0,2741.0
887,4159,100888.0,2747.0
888,4199,100889.0,2747.0
889,4181,100890.0,2746.0
890,4157,100891.0,2740.0
891,4257,100892.0,2765.0
892,4180,100893.0,2740.0
893,4258,100894.0,2740.0
894,4229,100895.0,2741.0
895,4205,100896.0,2740.0
896,4251,100897.0,2747.0
897,4223,100898.0,2771.0
898,4204,100899.0,2766.0
899,4156,100900.0,2740.0
900,4158,100901.0,2741.0
901,4158,100902.0,2740.0
902,4158,100903.0,2741.0
903,4182,100904.0,2765.0
904,4158,100905.0,2790.0
905,4159,100906.0,2746.0
906,4152,100907.0,2747.0
907,4159,100908.0,2747.0
908,4257,100909.0,2741.0
909,4257,100910.0,2740.0
910,4204,100911.0,2741.0
911,4257,100912.0,2740.0
912,4257,100913.0,2740.0
913,4204,100914.0,2741.0
914,4251,100915.0,2747.0
915,4251,100916.0,2747.0
916,4256,100917.0,2747.0
917,4159,100918.0,2740.0
918,4257,100919.0,2790.0
