Channel1,Channel2,LabelObject,Grid
5921,5991,No,0
5921,5991,No,0
5921,5991,No,0
5945,6016,No,0
6028,5991,No,0
6022,5990,No,0
5920,5991,No,0
5951,6041,No,0
5945,5991,No,0
5945,5991,No,0
5946,6015,No,0
5946,6041,No,0
5946,5966,No,0
6022,5966,No,0
6022,6040,No,0
5946,6040,No,0
6022,5966,No,0
6021,5990,No,0
5946,5990,No,0
5996,6016,No,0
6028,5966,No,0
6021,5966,No,0
6021,5966,No,0
5951,5966,No,0
5921,5966,No,0
5945,5990,No,0
5946,5966,No,0
5945,5991,No,0
6022,6065,No,0
6021,6014,No,0
6021,5990,No,0
5945,6015,No,0
5921,6014,No,0
5952,5989,No,0
5946,5990,No,0
5921,6014,No,0
5922,5990,No,0
5971,5965,No,0
5921,5989,No,0
